mover,translateX_min,translateX_max,translateY_min,translateY_max,translateZ_min,translateZ_max,rotateX_min,rotateX_max,rotateY_min,rotateY_max,rotateZ_min,rotateZ_max,scaleX_min,scaleX_max,scaleY_min,scaleY_max,scaleZ_min,scaleZ_max
Mery_ac_upLip_05_control,-0.8,0.8,-0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_rg_iris,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_rg_lowlid01_sg,-0.7,0.7,-0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_supfLid_move_sg,-0.75,0.75,-0.35,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-30.000000000000000,30.000000000000000,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_cn_inout_mouth,0.0,0.0,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_rg_corner_control,-0.8,0.8,-0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_suplid03_sg,-0.7,0.7,-0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_loLip_05_control,-0.8,0.8,-0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_lowlid02_sg,-0.7,0.7,-0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_dw_rg_lip_inout,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_dw_lf_lip_inout,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_upLip_03_control,-0.8,0.8,-0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_up_rg_lip_inout,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_general_lf_brow,0.0,0.0,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_entrecejo,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_rg_cheekbone,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_pupila,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_rg_supfLid_move_sg,-0.75,0.75,-0.35,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-30.000000000000000,30.000000000000000,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_suplid02_sg,-0.7,0.7,-0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_cn_mouth_move,-0.8,0.8,-0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-30.000000000000000,30.000000000000000,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_rg_entrecejo,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_lowlid03_sg,-0.7,0.7,-0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_stickyLips_control,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_rg_moflete,0.0,0.0,-0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_brow03,0.0,0.0,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_brow02,0.0,0.0,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Mery_ac_lf_brow01,0.0,0.0,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
